date,avarage
1788-09-01,11.699000000000002
1788-10-01,9349
1788-11-01,6.111000000000001
1788-12-01,1.2519999999999998
1789-01-01,3.7060000000000004
1789-02-01,1675
1789-03-01,3989
1789-04-01,7.693999999999999
1789-05-01,11666
1789-06-01,13507
1789-07-01,15462
1789-08-01,13.84
1789-09-01,12018
1789-10-01,7.39
1789-11-01,5.9639999999999995
1789-12-01,3099
1790-01-01,2444
1790-02-01,2.9730000000000003
1790-03-01,4582
1790-04-01,6.052999999999999
1790-05-01,10.357000000000001
1790-06-01,13746
1790-07-01,13.812000000000001
1790-08-01,13925
1790-09-01,11233
1790-10-01,8577
1790-11-01,5331
1790-12-01,2755
1791-01-01,1493
1791-02-01,3466
1791-03-01,4.79
1791-04-01,9127
1791-05-01,9859
1791-06-01,13231
1791-07-01,13612
1791-08-01,13.744000000000002
1791-09-01,11677
1791-10-01,8.08
1791-11-01,6206
1791-12-01,3.5260000000000002
1792-01-01,0.3480000000000003
1792-02-01,3.62
1792-03-01,4.428999999999999
1792-04-01,7994
1792-05-01,11321
1792-06-01,13581
1792-07-01,14212
1792-08-01,12.280999999999999
1792-09-01,12491
1792-10-01,8.097000000000001
1792-11-01,5306
1792-12-01,3388
1793-01-01,0.5209999999999999
1793-02-01,4745
1793-03-01,5042
1793-04-01,8.642999999999999
1793-05-01,11.059000000000001
1793-06-01,13146
1793-07-01,14.335999999999999
1793-08-01,13.16
1793-09-01,12002
1793-10-01,8.392999999999999
1793-11-01,5666
1793-12-01,2037
1794-01-01,3.71
1794-02-01,3605
1794-03-01,5.696000000000001
1794-04-01,9367
1794-05-01,12376
1794-06-01,11.994000000000002
1794-07-01,12874
1794-08-01,13.484000000000002
1794-09-01,11896
1794-10-01,9108
1794-11-01,5284
1794-12-01,2918
1795-01-01,2.7310000000000003
1795-02-01,4.39
1795-03-01,5709
1795-04-01,8918
1795-05-01,11.029000000000002
1795-06-01,13293
1795-07-01,14295
1795-08-01,13.14
1795-09-01,11133
